,event_id,contributor,repository,event_type,event_time
0,36966579509,lszomoru,microsoft/vscode-docs,PushEvent,2024-03-28T12:53:09Z
1,36965708494,lszomoru,microsoft/vscode,PushEvent,2024-03-28T12:25:43Z
2,36965708898,lszomoru,microsoft/vscode,DeleteEvent,2024-03-28T12:25:43Z
3,36965707924,lszomoru,microsoft/vscode,PullRequestEvent,2024-03-28T12:25:42Z
4,36965132336,lszomoru,microsoft/vscode,PullRequestEvent,2024-03-28T12:07:13Z
5,36965131259,lszomoru,microsoft/vscode,CreateEvent,2024-03-28T12:07:11Z
6,36963416810,lszomoru,microsoft/vscode,PushEvent,2024-03-28T11:06:24Z
7,36958011586,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T08:05:35Z
8,36956560282,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T07:04:32Z
9,36955790035,lszomoru,microsoft/vscode,PushEvent,2024-03-28T06:27:31Z
10,36955365709,lszomoru,microsoft/winget-pkgs,PullRequestEvent,2024-03-28T06:05:44Z
11,36955364771,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T06:05:41Z
12,36955358025,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T06:05:20Z
13,36954525980,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T05:18:15Z
14,36954368141,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T05:09:09Z
15,36951717750,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T02:12:13Z
16,36949908282,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-28T00:15:16Z
17,36946861704,lszomoru,microsoft/vscode,PushEvent,2024-03-27T21:21:35Z
18,36943272390,lszomoru,microsoft/winget-pkgs,PullRequestEvent,2024-03-27T19:04:46Z
19,36943270658,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T19:04:43Z
20,36941248725,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T18:05:14Z
21,36939289234,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T17:04:32Z
22,36937230613,lszomoru,microsoft/winget-pkgs,PullRequestEvent,2024-03-27T16:07:02Z
23,36937228705,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T16:06:59Z
24,36937175427,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T16:05:32Z
25,36931122513,lszomoru,microsoft/vscode,IssuesEvent,2024-03-27T13:29:12Z
26,36931114434,lszomoru,microsoft/vscode,IssueCommentEvent,2024-03-27T13:28:58Z
27,36930202581,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T13:04:36Z
28,36927161573,lszomoru,microsoft/vscode,IssueCommentEvent,2024-03-27T11:33:42Z
29,36927096333,lszomoru,microsoft/vscode,IssueCommentEvent,2024-03-27T11:31:38Z
30,36927022962,lszomoru,microsoft/vscode,IssueCommentEvent,2024-03-27T11:29:22Z
31,36925856321,lszomoru,microsoft/vscode,PullRequestReviewEvent,2024-03-27T10:53:05Z
32,36918932348,lszomoru,microsoft/winget-pkgs,PullRequestEvent,2024-03-27T07:05:13Z
33,36918931281,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T07:05:11Z
34,36915567461,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T04:05:55Z
35,36914650738,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T03:05:20Z
36,36913042894,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T01:25:41Z
37,36911944929,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-27T00:14:46Z
38,36910838615,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T23:04:35Z
39,36908361212,lszomoru,microsoft/winget-pkgs,PullRequestEvent,2024-03-26T21:05:01Z
40,36908360163,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T21:04:59Z
41,36905088411,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T19:05:24Z
42,36903300680,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T18:06:48Z
43,36903261276,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T18:05:38Z
44,36901173911,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T17:04:25Z
45,36899028283,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T16:05:25Z
46,36896714707,lszomoru,microsoft/vscode-pull-request-github,IssueCommentEvent,2024-03-26T15:06:29Z
47,36896640256,lszomoru,lszomoru/winget-pkgs,PushEvent,2024-03-26T15:04:41Z
48,36896439347,lszomoru,lszomoru/vscode,PushEvent,2024-03-26T14:59:53Z
49,36895864516,lszomoru,microsoft/vscode,IssueCommentEvent,2024-03-26T14:45:41Z
50,36895298017,lszomoru,microsoft/vscode-languageserver-node,PullRequestReviewEvent,2024-03-26T14:32:14Z
